timestamp,num_processes,matrix_size,algorithm,execution_time,speedup,efficiency
2025-11-25T18:18:06.683535,8,9000,BLOCK,0.752322,0.9303,11.6286
2025-11-25T18:18:12.484881,8,10000,ROW,0.839221,0.7440,9.3000
2025-11-25T18:18:12.484881,8,10000,COLUMN,0.800657,0.4836,6.0455
2025-11-25T18:18:12.484881,8,10000,BLOCK,0.910108,0.9142,11.4271
2025-11-25T18:18:20.623309,8,12000,ROW,1.189526,0.6647,8.3087
2025-11-25T18:18:20.623309,8,12000,COLUMN,1.248308,0.4225,5.2810
2025-11-25T18:18:20.623309,8,12000,BLOCK,1.426070,0.8771,10.9632
2025-11-25T18:18:30.825238,8,14000,ROW,1.518843,0.6704,8.3799
2025-11-25T18:18:30.825238,8,14000,COLUMN,1.651771,0.4650,5.8124
2025-11-25T18:18:30.825238,8,14000,BLOCK,2.343274,0.7113,8.8910
2025-11-25T18:18:45.226926,8,16000,ROW,2.012122,0.5847,7.3093
2025-11-25T18:18:45.226926,8,16000,COLUMN,2.181576,0.5364,6.7050
2025-11-25T18:18:45.226926,8,16000,BLOCK,2.753567,0.8022,10.0274
2025-11-25T18:19:02.204854,8,18000,ROW,2.374410,0.7760,9.6995
2025-11-25T18:19:02.204854,8,18000,COLUMN,3.024573,0.4858,6.0726
2025-11-25T18:19:02.204854,8,18000,BLOCK,3.271374,1.0543,13.1785
2025-11-25T18:19:23.717332,8,20000,ROW,3.262499,0.5393,6.7412
2025-11-25T18:19:23.717332,8,20000,COLUMN,3.606855,0.3958,4.9474
2025-11-25T18:19:23.717332,8,20000,BLOCK,4.045998,1.0078,12.5979
